H,grid_AUC_PR,nested_AUC_PR,nested_AUC_ROC
6,0.8583766466070308,0.8523270238233567,0.9917832188136992
7,0.8578452667162547,0.8457921189384794,0.9913435593593292
8,0.8550397087634993,0.8464537997075436,0.9908777163792617
5,0.8522697957269016,0.841871935330463,0.9917638116443362
9,0.8474145222350652,0.8474729277202782,0.9903793862862086
10,0.8410490093914574,0.8438040051264319,0.9897690020496273
12,0.836678602058425,0.8359016655827349,0.988593059961566
11,0.835409018304617,0.8392308372838413,0.9890010281308456
4,0.8331591760755257,0.8050378929950996,0.9911569810550885
13,0.8194769727598442,0.819815945160365,0.9870598857024098
