recovery_band,future_event,future_event,future_event,future_event,future_risk_score,future_risk_score,future_risk_score,future_risk_score,hr_delta_10s,hr_delta_10s,hr_delta_10s,hr_delta_10s,hr_slope_10s,hr_slope_10s,hr_slope_10s,hr_slope_10s,hr_slope_change_10s,hr_slope_change_10s,hr_slope_change_10s,hr_slope_change_10s,hr_burden_plus3_recent10,hr_burden_plus3_recent10,hr_burden_plus3_recent10,hr_burden_plus3_recent10,hr_deviation_local,hr_deviation_local,hr_deviation_local,hr_deviation_local,hr_available,hr_available,hr_available,hr_available
,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median
CONTROL_GT60,139,0.07194244604316546,0.2593271050009552,0.0,139,0.2446043165467626,0.9390229783632967,0.0,139,-0.05827338129496404,2.703564455547677,0.0,139,-0.0011772400261598687,0.35422597281583673,-1.6968374866019227e-15,139,0.014955308480488089,0.5527036483782575,-0.006060606060605267,139,0.139568345323741,0.28478792135577086,0.0,139,0.6330935251798561,3.097202769990372,1.0,139,1.0,0.0,1.0
CONTROL_PRE,1498,0.0527369826435247,0.22358256620003156,0.0,1498,0.20427236315086783,0.9395534182980566,0.0,1498,-0.021295060080106756,2.4436454867510555,0.0,1498,0.0032568677428500277,0.38069887879154796,2.19580921153014e-15,1498,1.2137395314952332e-05,0.6001539458491815,-0.018181818181818715,1498,0.11255006675567422,0.24587995662409695,0.0,1498,0.02903871829105474,3.152756088315065,0.0,1498,1.0,0.0,1.0
R00_10,49,0.02040816326530612,0.14285714285714282,0.0,49,0.061224489795918366,0.42857142857142866,0.0,49,0.5714285714285721,3.3262842131523684,0.20000000000000284,49,-0.06580086580086497,0.3919627956583225,-0.03636363636363829,49,-0.1847866419294988,0.7247622098762302,-0.06666666666666575,49,0.2326530612244898,0.3442308788577569,0.0,49,0.5,3.944933459514875,0.0,49,1.0,0.0,1.0
R10_20,23,0.0,0.0,0.0,23,0.0,0.0,0.0,23,-0.8956521739130451,2.5403074725977524,-0.4000000000000057,23,-0.07193675889327995,0.310708801648331,-0.030303030303029367,23,0.0342555994729904,0.5387454197019794,2.525757381022231e-15,23,0.29130434782608694,0.4133159076610671,0.0,23,0.9130434782608695,3.043817033658126,0.0,23,1.0,0.0,1.0
R20_30,20,0.05,0.22360679774997896,0.0,20,0.15,0.6708203932499369,0.0,20,-0.2700000000000017,1.9164385829202222,0.10000000000000142,20,-0.01696969696969692,0.3882753156564961,-0.02727272727272719,20,0.005454545454544779,0.5497681639316577,0.06060606060605864,20,0.27999999999999997,0.38743420494052244,0.0,20,1.375,3.012583259386675,1.0,20,1.0,0.0,1.0
R30_60,45,0.044444444444444446,0.2084090771399927,0.0,45,0.13333333333333333,0.6252272314199782,0.0,45,0.20888888888889043,3.3432307606852274,0.4000000000000057,45,0.061279461279462294,0.5533243449739342,1.2956314198823012e-15,45,0.0724579124579124,0.8057663825948985,-0.06666666666667043,45,0.19555555555555557,0.31905795680092325,0.0,45,0.9666666666666667,3.979207321702516,0.0,45,1.0,0.0,1.0
