id,route,Timestamp,recovery_band,seconds_since_distraction_end,future_event,future_risk_score,hr,hr_available,hr_delta_10s,hr_slope_10s,hr_slope_change_10s,hr_burden_plus3_recent10,hr_deviation_local
0A01,P2,2025-07-09 14:03:32+00:00,CONTROL_PRE,,0,0.0,71.0,1.0,-5.200000000000003,0.048484848484850435,1.2606060606060645,0.0,-3.0
0A01,P2,2025-07-09 14:03:37+00:00,CONTROL_PRE,,0,0.0,75.0,1.0,0.20000000000000284,0.33939393939394064,0.8000000000000016,0.0,1.0
0A01,P2,2025-07-09 14:03:42+00:00,CONTROL_PRE,,0,0.0,76.0,1.0,3.4000000000000057,0.5818181818181839,0.5333333333333334,0.0,2.0
0A01,P2,2025-07-09 14:03:47+00:00,CONTROL_PRE,,0,0.0,77.0,1.0,3.6000000000000085,-0.08484848484848555,-0.4242424242424262,0.0,3.0
0A01,P2,2025-07-09 14:04:12+00:00,CONTROL_PRE,,0,0.0,81.0,1.0,0.9000000000000057,0.9454545454545468,1.703030303030304,0.1,6.0
0A01,P2,2025-07-09 14:04:22+00:00,R00_10,2.0,0,0.0,79.0,1.0,3.0,-0.12121212121212087,-1.0666666666666675,0.9,4.0
0A01,P2,2025-07-09 14:04:27+00:00,R00_10,7.0,0,0.0,74.0,1.0,-0.29999999999999716,-0.3090909090909066,-0.4424242424242427,0.8,-1.0
0A01,P2,2025-07-09 14:04:32+00:00,R10_20,12.0,0,0.0,74.0,1.0,-3.0,-0.8848484848484875,-0.7636363636363667,0.3,-1.0
0A01,P2,2025-07-09 14:04:37+00:00,R10_20,17.0,0,0.0,73.0,1.0,-4.6000000000000085,-0.030303030303029367,0.2787878787878772,0.0,-2.0
0A01,P2,2025-07-09 14:04:42+00:00,R20_30,22.0,0,0.0,72.0,1.0,-3.1000000000000085,-0.3939393939393918,0.49090909090909574,0.0,-3.0
0A01,P2,2025-07-09 14:04:52+00:00,R30_60,32.0,0,0.0,75.0,1.0,-1.3999999999999915,0.17575757575757622,0.569696969696968,0.0,1.0
0A01,P2,2025-07-09 14:04:57+00:00,R30_60,37.0,0,0.0,82.0,1.0,4.799999999999997,1.7696969696969729,1.8787878787878796,0.5,7.0
0A01,P2,2025-07-09 14:05:02+00:00,R30_60,42.0,0,0.0,80.0,1.0,9.200000000000003,-0.06666666666666375,-0.24242424242424,1.0,5.0
0A01,P2,2025-07-09 14:05:07+00:00,R30_60,47.0,1,3.0,80.0,1.0,3.8000000000000114,-0.048484848484844335,-1.8181818181818172,1.0,5.0
0A01,P2,2025-07-09 14:05:12+00:00,R30_60,52.0,1,3.0,75.0,1.0,-2.200000000000003,-0.648484848484843,-0.5818181818181792,0.6,0.0
0A01,P2,2025-07-09 14:05:17+00:00,R30_60,57.0,0,0.0,76.0,1.0,-4.1000000000000085,-0.321212121212119,-0.27272727272727465,0.1,1.0
0A01,P2,2025-07-09 14:05:22+00:00,CONTROL_GT60,62.0,0,0.0,73.0,1.0,-4.0,-0.3454545454545434,0.3030303030302996,0.0,-2.0
0A01,P2,2025-07-09 14:05:27+00:00,CONTROL_GT60,67.0,0,0.0,76.0,1.0,-2.3999999999999915,0.04242424242424224,0.36363636363636126,0.0,1.0
0A01,P2,2025-07-09 14:05:32+00:00,CONTROL_GT60,72.0,0,0.0,73.0,1.0,-0.7999999999999972,-0.01818181818181746,0.32727272727272594,0.0,-2.0
0A01,P2,2025-07-09 14:05:37+00:00,CONTROL_GT60,77.0,0,0.0,73.0,1.0,-0.5,-0.20606060606060453,-0.24848484848484675,0.0,-2.0
0A01,P2,2025-07-09 14:05:47+00:00,R00_10,2.0,0,0.0,79.0,1.0,7.3999999999999915,0.2787878787878799,0.4848484848484844,0.9,4.0
0A01,P2,2025-07-09 14:05:52+00:00,R00_10,7.0,0,0.0,76.0,1.0,2.8000000000000114,-0.7757575757575754,-2.0727272727272696,0.5,1.0
0A01,P2,2025-07-09 14:05:57+00:00,R10_20,12.0,0,0.0,75.0,1.0,-4.299999999999997,-0.3696969696969718,-0.6484848484848518,0.0,0.0
0A01,P2,2025-07-09 14:06:02+00:00,R10_20,17.0,0,0.0,73.0,1.0,-4.6000000000000085,-0.32727272727272433,0.4484848484848511,0.0,-2.0
0A01,P2,2025-07-09 14:06:07+00:00,R20_30,22.0,0,0.0,75.0,1.0,-2.299999999999997,0.07272727272727388,0.44242424242424566,0.0,0.0
0A01,P2,2025-07-09 14:06:17+00:00,R00_10,4.0,0,0.0,77.0,1.0,3.200000000000003,0.29090909090909045,0.2181818181818166,0.3,2.0
0A01,P2,2025-07-09 14:06:22+00:00,R00_10,9.0,0,0.0,75.0,1.0,1.2999999999999972,-0.5757575757575765,-0.9878787878787902,0.3,0.0
0A01,P2,2025-07-09 14:06:27+00:00,R10_20,14.0,0,0.0,80.0,1.0,-0.4000000000000057,0.6545454545454557,0.3636363636363652,0.4,5.0
0A01,P2,2025-07-09 14:06:32+00:00,R10_20,19.0,0,0.0,75.0,1.0,1.8999999999999915,-0.2303030303030301,0.34545454545454635,0.7,0.0
0A01,P2,2025-07-09 14:06:37+00:00,R20_30,24.0,0,0.0,75.0,1.0,-0.5999999999999943,-0.6666666666666677,-1.3212121212121235,0.3,0.0
0A01,P2,2025-07-09 14:06:42+00:00,R00_10,0.0,0,0.0,73.0,1.0,-4.199999999999989,-0.08484848484848383,0.14545454545454628,0.0,-2.0
0A01,P2,2025-07-09 14:06:47+00:00,R00_10,5.0,0,0.0,76.0,1.0,-2.4000000000000057,-0.012121212121208851,0.6545454545454589,0.0,1.0
0A01,P2,2025-07-09 14:06:52+00:00,R00_10,10.0,0,0.0,73.0,1.0,-0.5,0.09090909090909173,0.17575757575757556,0.0,-2.0
0A01,P2,2025-07-09 14:06:57+00:00,R10_20,15.0,0,0.0,74.0,1.0,-0.5,-0.1757575757575752,-0.16363636363636636,0.0,-1.0
0A01,P2,2025-07-09 14:07:02+00:00,R10_20,20.0,0,0.0,74.0,1.0,-0.20000000000000284,0.2000000000000013,0.10909090909090956,0.0,-1.0
0A01,P2,2025-07-09 14:07:12+00:00,R20_30,30.0,0,0.0,76.0,1.0,0.20000000000000284,0.5878787878787868,0.3878787878787855,0.0,1.0
0A01,P2,2025-07-09 14:07:17+00:00,R30_60,35.0,0,0.0,72.0,1.0,1.7000000000000028,-0.3696969696969678,0.06666666666666776,0.0,-3.0
0A01,P2,2025-07-09 14:07:22+00:00,R30_60,40.0,0,0.0,76.0,1.0,0.5999999999999943,0.05454545454545482,-0.533333333333332,0.0,1.0
0A01,P2,2025-07-09 14:07:27+00:00,R30_60,45.0,0,0.0,77.0,1.0,1.0999999999999943,0.4000000000000026,0.7696969696969704,0.0,2.0
0A01,P2,2025-07-09 14:07:32+00:00,R30_60,50.0,0,0.0,79.0,1.0,3.4000000000000057,0.3454545454545453,0.29090909090909045,0.4,4.0
0A01,P2,2025-07-09 14:07:37+00:00,R30_60,55.0,0,0.0,81.0,1.0,3.9000000000000057,0.33333333333333215,-0.06666666666667043,0.9,6.0
0A01,P2,2025-07-09 14:07:52+00:00,R00_10,3.0,0,0.0,78.0,1.0,-1.8999999999999915,-0.43030303030302586,-0.26060606060605696,0.3,3.0
