user_id,run_id,weather,map_name,error_type,model_pred,model_prob,emotion_label,emotion_prob,speed_kmh,timestamp,frame,sim_time_seconds,x,y,z,road_id,lane_id,details
participant_01,1,day,Town10HD,Red light violation,None,1.0,fear,0.924,25.581,2026-02-10T16:20:38.376236,24153,576.5423985719681,-110.62454986572266,-2.9667646884918213,0.0017410659929737,6,1,traffic_light_id=43
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,neutral,0.828,3.465,2026-02-10T16:21:00.464099,24430,586.2373986132443,-76.67891693115234,27.94250869750977,0.0017411422450095,19,-2,Solid
participant_01,1,day,Town10HD,Harsh braking,None,1.0,fear,0.977,12.931,2026-02-10T16:21:07.140138,24516,589.2473986260593,-66.32182312011719,29.47452163696289,0.0019525527022778,268,-1,decel_mps2=4.022
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,happy,0.707,27.488,2026-02-10T16:21:33.937762,24873,601.7423986792564,40.79605865478516,49.483680725097656,0.0021771620959043,9,1,SolidSolid
participant_01,1,day,Town10HD,Harsh braking,None,1.0,fear,1.0,20.79,2026-02-10T16:21:34.794522,24884,602.1273986808956,41.16067886352539,52.02926635742188,0.0021954725962132,9,1,decel_mps2=4.674
participant_01,1,day,Town10HD,Solid line crossing,reach_back,0.905,happy,0.915,11.934,2026-02-10T16:21:47.296741,25062,608.3573987074196,41.443450927734375,54.59489059448242,0.0013976288028061,152,1,SolidSolid
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,neutral,0.909,46.007,2026-02-10T16:21:56.298068,25187,612.7323987260461,80.24414825439453,70.2747573852539,0.0019757079426199,11,1,Solid
participant_01,1,day,Town10HD,Solid line crossing,reach_back,0.888,neutral,0.777,43.137,2026-02-10T16:22:32.191232,25698,630.617398802191,-41.58968353271485,87.24004364013672,0.0020606995094567,13,-2,Solid
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,neutral,0.739,40.488,2026-02-10T16:22:37.822956,25775,633.3123988136649,-21.464496612548828,68.8603286743164,0.0018280410440638,12,1,SolidSolid
participant_01,1,day,Town10HD,Stop sign violation,None,1.0,sad,0.568,42.601,2026-02-10T16:22:45.909448,25881,637.0223988294601,26.157121658325195,69.97455596923828,0.0021117019932717,12,1,stop_sign_id=946
participant_01,1,day,Town10HD,Solid line crossing,reach_back,0.949,happy,0.796,15.694,2026-02-10T16:23:36.414144,26607,662.4323989376426,60.66748046875,31.346153259277344,0.0018004989251494,21,-3,Solid
participant_01,1,day,Town10HD,Red light violation,None,1.0,neutral,0.59,20.132,2026-02-10T16:23:43.512557,26713,666.1423989534378,82.76018524169922,31.80034828186035,0.0025637815706431,21,-3,traffic_light_id=33
participant_01,1,day,Town10HD,Red light violation,None,1.0,sad,0.941,40.83,2026-02-10T16:24:18.703653,27230,684.2373990304768,-30.897932052612305,-67.38308715820312,0.0018395233200863,90,2,traffic_light_id=34
participant_01,1,day,Town10HD,Red light violation,None,1.0,sad,0.933,49.02,2026-02-10T16:24:37.453286,27521,694.4223990738392,-110.77735137939452,-2.6162097454071045,0.0017382049700245,6,1,traffic_light_id=43
participant_01,1,day,Town10HD,Red light violation,None,1.0,fear,0.699,30.906,2026-02-10T16:24:48.391038,27672,699.7073990963399,-64.817626953125,28.01412010192871,0.0020373915322124,268,-1,traffic_light_id=46
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,happy,0.631,8.294,2026-02-10T16:25:04.367550,27893,707.4423991292715,0.9509863257408142,28.52290153503418,0.0017409896245226,20,-2,Solid
participant_01,1,day,Town10HD,Harsh braking,reach_back,0.933,sad,0.825,26.704,2026-02-10T16:25:13.762702,28024,712.027399148792,36.790748596191406,34.754356384277344,0.0021546173375099,848,-1,decel_mps2=5.000
participant_01,1,day,Town10HD,Stop sign violation,None,1.0,fear,0.997,26.309,2026-02-10T16:25:24.793240,28181,717.5223991721869,41.08654022216797,54.32859802246094,0.0015483474126085,152,1,stop_sign_id=1062
participant_01,1,day,Town10HD,Stop sign violation,None,1.0,fear,0.999,45.46,2026-02-10T16:25:28.287133,28234,719.3773991800845,50.04842758178711,69.76871490478516,0.0017315292498096,150,1,stop_sign_id=1067
participant_01,1,day,Town10HD,Red light violation,None,1.0,fear,1.0,45.425,2026-02-10T16:26:07.239066,28838,740.5173992700875,-26.98022079467773,130.48707580566406,0.0019862365443259,4,-2,traffic_light_id=45
participant_01,1,day,Town10HD,Solid line crossing,reach_back,0.916,neutral,0.933,40.191,2026-02-10T16:26:23.496392,29067,748.5323993042111,-18.05074119567871,69.10502624511719,0.0019115447066724,12,1,SolidSolid
