user_id,run_id,weather,map_name,start_x,start_y,start_z,end_x,end_y,end_z,arousal_start,arousal_end,hr_bpm_start,hr_bpm_end,model_pred_start,model_prob_start,model_pred_end,model_prob_end,emotion_label_start,emotion_prob_start,emotion_label_end,emotion_prob_end,timestamp_start,timestamp_end,frame_start,frame_end,sim_time_start,sim_time_end,details
participant_03,1,day,Town10HD,40.56139373779297,53.852943420410156,0.0017213057726621628,42.11510467529297,60.984153747558594,0.0014835359761491418,0.445,0.452,53,54,None,0.947,pick_floor,0.937,neutral,0.65,fear,0.772,2026-02-16T10:35:44.533889,2026-02-16T10:35:48.449560,363471,363523,6886.857408337295,6888.677408345044,window_2
participant_03,1,day,Town10HD,62.165321350097656,70.45723724365234,0.0017669296357780695,89.54268646240234,69.28121185302734,0.0017749785911291838,0.442,0.442,57,62,None,0.922,None,1.0,neutral,0.57,angry,0.787,2026-02-16T10:35:53.582809,2026-02-16T10:35:58.434334,363595,363663,6891.1974083557725,6893.577408365905,window_1
participant_03,1,day,Town10HD,30.0252628326416,130.552001953125,0.0018130873795598745,6.02470064163208,129.31307983398438,0.001735191443003714,0.919,0.573,52,50,None,0.974,pick_floor,0.991,neutral,0.753,fear,0.987,2026-02-16T10:36:22.321435,2026-02-16T10:36:26.689110,363997,364055,6905.267408415675,6907.297408424318,window_2
participant_03,1,day,Town10HD,7.981967449188232,129.9725341796875,0.0013831332325935364,2.4192955493927,129.80043029785156,0.00153842952568084,0.428,0.357,52,58,None,0.949,pick_floor,0.997,neutral,0.579,neutral,0.891,2026-02-16T10:36:32.012717,2026-02-16T10:36:36.050035,364128,364183,6909.852408435196,6911.777408443391,window_1
participant_03,1,day,Town10HD,-41.80045700073242,82.67767333984375,0.0019233322236686945,-32.999542236328125,69.03092956542969,0.0014357760082930326,0.357,0.357,65,62,None,0.943,pick_floor,0.986,neutral,0.683,fear,0.839,2026-02-16T10:36:53.980124,2026-02-16T10:36:58.024091,364434,364487,6920.562408480793,6922.417408488691,window_2
participant_03,1,day,Town10HD,16.108762741088867,70.23149108886719,0.0018113325349986553,27.17963409423828,70.0929946899414,0.0013296513352543116,0.357,0.48,64,63,None,0.91,None,1.0,neutral,0.408,sad,0.941,2026-02-16T10:37:09.728949,2026-02-16T10:37:13.678754,364641,364697,6927.807408511639,6929.767408519983,window_1
participant_03,1,day,Town10HD,65.56459045410156,25.175304412841797,0.002053031697869301,87.37541961669922,26.12384796142578,0.0016358948778361082,1.0,0.979,60,60,None,1.0,pick_floor,0.969,angry,0.507,fear,0.981,2026-02-16T10:37:29.387045,2026-02-16T10:37:34.283223,364917,364987,6937.467408552766,6939.917408563197,window_2
participant_03,1,day,Town10HD,106.20076751708984,4.182468891143799,0.0018737028585746884,107.09929656982422,-17.336679458618164,0.0018994903657585382,0.716,0.777,60,60,None,0.952,None,0.973,neutral,0.618,neutral,0.376,2026-02-16T10:37:42.240403,2026-02-16T10:37:47.189410,365103,365173,6943.977408580482,6946.427408590913,window_1
participant_03,1,day,Town10HD,18.187458038330078,-67.42394256591797,0.0021231838036328554,-32.61529541015625,-65.50513458251953,0.00039367660065181553,0.642,0.365,56,53,None,0.988,pick_floor,0.998,neutral,0.69,fear,0.708,2026-02-16T10:38:04.645688,2026-02-16T10:38:12.647296,365421,365535,6955.107408627868,6959.097408644855,window_2
participant_03,1,day,Town10HD,-63.570194244384766,-65.53031921386719,0.0014950946206226945,-86.47919464111328,-59.92890548706055,0.0019215773791074753,0.325,0.453,52,59,None,0.92,None,1.0,sad,0.454,sad,0.984,2026-02-16T10:38:17.839500,2026-02-16T10:38:21.346232,365612,365663,6961.792408656329,6963.5774086639285,window_1
