bin,gt_rate_per_sec,raw_model_mean,calibrated_model_mean,n_errors,exposure
0,0.07505598193338253,0.2098897099494934,0.06456521898508072,0,0.0
1,0.11870080231189183,0.1799955517053604,0.06497542560100555,200,1650.0
2,0.07728068396869656,0.14628465473651886,0.06382592022418976,130,1650.0
3,0.05752950144914753,0.158361554145813,0.06388702988624573,92,1650.0
4,0.05752950144914753,0.13928848505020142,0.06173023581504822,99,1611.0
5,0.046514238306027925,0.14477093517780304,0.061456356197595596,71,1547.0
6,0.046514238306027925,0.13231007754802704,0.061428334563970566,60,1215.0
7,0.03180222059695671,0.13516920804977417,0.061212208122015,36,1111.0
