H,grid_AUC_PR,nested_AUC_PR,nested_AUC_ROC,nested_Cal_MAE,nested_Cal_RMSE,selection_score
6,0.9331629899949504,0.9170068144644111,0.9967283200052648,0.009223328684661417,0.016822495749379447,0.9156233151617119
9,0.9331008087347372,0.9203930132895156,0.9959329491202328,0.010045944874500175,0.018643903270273515,0.9188861215583406
7,0.9303160385628589,0.9233347292926122,0.9967160358895373,0.009556077307330945,0.017596598658177236,0.9219013176965125
8,0.9276163499676083,0.9214709304041169,0.9962055319935343,0.009708125624902052,0.018072084142740707,0.9200147115603816
11,0.9213529792308289,0.9061426596957644,0.9949709507847264,0.010526764607414455,0.01957870258227442,0.9045636450046521
10,0.9203463697489116,0.9128564185581849,0.9954803988298588,0.010301185805619471,0.019166928369995073,0.9113112406873419
12,0.9187814640022633,0.905765673583386,0.9946410131465884,0.011054094850627258,0.020223864343577865,0.9041075593557919
5,0.9148500022722247,0.9041067681006039,0.9961292428283812,0.009056954047440273,0.016321128649633008,0.9027482249934878
13,0.909377472528235,0.8901776420074992,0.9935537546521853,0.011429568187809764,0.0206514578588245,0.8884632067793277
4,0.9078484564964721,0.8953464367034625,0.9965470051964095,0.009774712519183165,0.01662694200724245,0.893880229825585
