id,route,Timestamp,Collision,Red_light_violation,Time,center_line_crossing,panic_braking,panic_braking_with_stop,sharp_turn,sent_at,hr,arousal,drinking,brushing_hair,safe_driving,talking_phone,texting_phone,neutral,happiness,surprise,sadness,anger,disgust,fear,0.speed,1.speed,2.speed,3.speed,GearBoxMode,acceleration.heading,acceleration.pitch,acceleration.roll,acceleration.x,acceleration.y,acceleration.z,accelerator,brake,engineSpeed,position.heading,position.x,position.y,position.z,speed.heading,speed.pitch,speed.roll,speed.x,speed.y,speed.z,steeringTorq,steeringWheelAngle
0A01,P1,2025-07-09 15:47:21+02:00,0.0,0.0,0.045001209144832785,0.0,0.0,0.0,0.0,2025-07-09 15:47:21.752000+02:00,79.0,0.2388482380965943,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010693187825381756,-0.010709917172789574,-0.006580965593457222,-0.006598046515136957,10.0,-3.816679964074865e-06,-0.002038494450971484,-6.760817541362485e-06,0.0037437807768583298,1.4228070540411863e-05,-0.001010594773106277,0.0,0.0,90.9431381225586,-4.6340886021205974e-08,843.5496402632351,9.544810900351637,-0.010722258081582364,-4.53400360811429e-07,0.0007249106420204043,-3.7285285543475766e-06,-0.0030778725631535053,-5.434949343907647e-07,0.00045659850002266467,-0.003059206996113062,0.0057526021264493465
0A01,P1,2025-07-09 15:47:22+02:00,0.0,0.0,0.5950159875816785,0.0,0.0,0.0,0.0,2025-07-09 15:47:21.752000+02:00,79.0,0.2388482380965943,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010693187825381756,-0.010709917172789574,-0.006580965593457222,-0.006598046515136957,10.0,-3.816679964074865e-06,-0.002038494450971484,-6.760817541362485e-06,0.0037437807768583298,1.4228070540411863e-05,-0.001010594773106277,0.0,0.0,90.9431381225586,-4.6340886021205974e-08,843.5496402632351,9.544810900351637,-0.010722258081582364,-4.53400360811429e-07,0.0007249106420204043,-3.7285285543475766e-06,-0.0030778725631535053,-5.434949343907647e-07,0.00045659850002266467,-0.003059206996113062,0.0057526021264493465
0A01,P1,2025-07-09 15:47:23+02:00,0.0,0.0,1.5950428574668527,0.0,0.0,0.0,0.0,2025-07-09 15:47:22.772000+02:00,79.0,0.2644680728073381,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00529285566881299,-0.005307162180542946,-0.004730966407805681,-0.004744581412523985,10.0,1.2145076652814168e-05,-0.00037658834480680525,-8.371376679860987e-06,0.001928128651343286,6.108863999543246e-06,-0.00023133176728151739,0.0,0.0,90.9431381225586,-1.0371421151317164e-07,843.5483454143467,9.544800470672635,-0.01038868776864385,-2.718718405958498e-07,0.00010280754941049963,-3.226979288228904e-06,-0.0016537749907001853,-1.7245791639197705e-07,6.017769919708371e-05,-0.002816947642713785,0.005273218732327223
0A01,P1,2025-07-09 15:47:24+02:00,0.0,0.0,2.5950697273520267,0.0,0.0,0.0,0.0,2025-07-09 15:47:23.762000+02:00,78.0,0.2181870810718008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0014704079367220402,-0.0014813541201874614,-0.0014469167217612267,-0.00145593355409801,10.0,-3.4506540487200255e-06,-1.453598633816e-05,-1.1175365216331556e-05,0.0005918564274907112,8.028478987398557e-06,-8.371855983568821e-06,0.0,0.0,90.9431381225586,-5.2150546251547546e-08,843.5473273415865,9.544794507511915,-0.010335187953665503,1.865290144564824e-09,5.544101441046223e-06,-2.4593666694272542e-06,-0.00047195254592224956,-1.36642071879578e-07,1.732756572891958e-06,-0.002309395931661129,0.004314451944082975
0A01,P1,2025-07-09 15:47:25+02:00,0.0,0.0,3.5950965972372004,0.0,0.0,0.0,0.0,2025-07-09 15:47:24.752000+02:00,78.0,0.2619834710743806,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0005161974113434553,-0.0004864595248363912,-0.00048749640700407326,-0.0004849933320656419,10.0,-1.3523663255909923e-05,4.094800715392921e-06,2.607409442134667e-06,0.0001616669469512999,-1.1032077964046039e-05,3.1584543194185244e-06,0.0,0.0,90.9431381225586,-1.5065895527052808e-07,843.5470369755622,9.544792101623187,-0.010331118062164107,2.2431287050039828e-07,8.420770996053761e-07,1.2740711099468172e-06,-0.0001570857421029359,-5.994418472710095e-08,4.25373343659885e-07,0.0002804805990308523,-0.000479383539641276
0A01,P1,2025-07-09 15:47:26+02:00,0.0,0.0,4.595123467122375,0.0,0.0,0.0,0.0,2025-07-09 15:47:25.772000+02:00,77.0,0.210743801652893,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.1130199709441513e-05,-0.0002466439618729055,-0.00012703922402579337,-0.00012687311391346157,10.0,5.6240984122268856e-05,1.0451981324877124e-05,-5.322628203430213e-05,6.106482760515064e-05,2.704941107367631e-05,1.782847539288923e-05,0.0,0.0,90.9431381225586,1.6140380606097662e-07,843.5469406408596,9.544790158311026,-0.010330539767810731,2.110973809976713e-06,7.666084798074735e-07,-8.365682901967375e-07,-3.912784086423926e-05,-3.3562982935109176e-06,1.3431976242372912e-07,0.00870282482355833,-0.0026366093661636114
0A01,P1,2025-07-09 15:47:27+02:00,0.0,0.0,5.595150337007549,0.0,0.0,0.0,0.0,2025-07-09 15:47:26.764000+02:00,76.0,0.17348124642490192,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00012828977196477354,0.00017462442338000983,0.00012917508138343692,0.00017199499416165054,10.0,-2.0822493752348237e-05,1.2326384421612602e-05,-1.072527993528638e-05,8.155387331498787e-05,-4.475265541259432e-06,-6.553486400662223e-06,0.0,0.0,90.9431381225586,2.0342577004805408e-07,843.5469424221661,9.544781560027088,-0.010330554941831271,4.02151954403962e-07,2.467402566708188e-07,7.676185305172112e-06,4.7761626774445176e-05,-1.2915081981645926e-07,9.709428638871032e-08,0.0064430502243340015,-0.012224280275404453
0A01,P1,2025-07-09 15:47:28+02:00,0.0,0.0,6.595177206892723,0.0,0.0,0.0,0.0,2025-07-09 15:47:27.752000+02:00,76.0,0.10158041997862084,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16172678768634796,0.162331685423851,0.1212950125336647,0.1212972104549408,10.0,-7.097633351804689e-05,-0.0008210735977627337,0.00016885514196474105,0.21499067544937134,-1.1946040103794076e-06,0.0037385327741503716,0.08224738389253616,0.0,99.07628631591797,-3.5661373422166774e-07,843.5518143229191,9.544820649137618,-0.011017991342916256,1.4631567637479748e-06,-0.0019735977984964848,1.3526179145628703e-06,0.040792111307382584,-3.9857340539128927e-07,-0.00017251829558517784,-0.017338722944259644,-0.0028763010632246733
0A01,P1,2025-07-09 15:47:29+02:00,0.0,0.0,7.595204076777897,0.0,0.0,0.0,0.0,2025-07-09 15:47:28.772000+02:00,76.0,0.10158041997862084,0.0,0.0,1.0,0.0,0.0,0.99968815,0.0,0.0,0.00031192,0.0,0.0,0.0,1.2070989608764648,1.2075105905532837,1.1954491138458252,1.1958376169204712,10.0,1.0942892913590185e-05,-0.0001300683943554759,7.263732550200075e-05,0.3483232259750366,0.00013218112871982157,-0.005086423363536596,0.10663167387247086,0.0,100.05646514892578,-6.544606087747073e-07,843.7649912055532,9.54690819240233,-0.012167013811662575,1.7013118849718012e-05,-0.00012554324348457158,9.176888852380216e-05,0.3769417107105255,0.00012582470662891865,-0.001588289043866098,-0.0023862295784056187,0.010067054070532322
0A01,P1,2025-07-09 15:47:30+02:00,0.0,0.0,8.59523094666307,0.0,0.0,0.0,0.0,2025-07-09 15:47:29.762000+02:00,78.0,0.05761299981920417,0.0,0.0,1.0,0.0,0.0,0.99968815,0.0,0.0,0.00031192,0.0,0.0,0.0,2.4121012687683105,2.4131133556365967,2.396564245223999,2.3963425159454346,10.0,-0.018807319924235344,-0.007931721396744251,0.014774312265217304,0.4308806359767914,-0.012500269338488579,-0.00026996058295480907,0.12288277596235275,0.0,100.51226043701172,2.903433466987582e-07,844.3592953171892,9.55276115817226,-0.012438740978903684,3.578177347662859e-05,-0.0003664596879389137,0.0001757838617777452,0.7559245824813843,0.00027768369182012975,-0.00356271187774837,-0.005813158582895994,0.01102582085877657
0A01,P1,2025-07-09 15:47:31+02:00,0.0,0.0,9.595257816548246,0.0,0.0,0.0,0.0,2025-07-09 15:47:30.752000+02:00,79.0,0.10885266924069174,0.0,0.0,1.0,0.0,0.0,0.99968815,0.0,0.0,0.00031192,0.0,0.0,0.0,4.225454807281494,4.226969242095947,4.199448108673096,4.201345443725586,10.0,-0.0010486579267308116,0.00527211744338274,0.0024768314324319363,0.5749201774597168,-0.0006566298543475568,0.005065917503088713,0.15335550904273987,0.0,101.55718994140625,9.904364767274349e-06,845.4444712410296,9.563686052459833,-0.013470642055370963,-0.00013608529116027057,0.00010308912169421092,0.00032764780917204916,1.324255347251892,0.0005031725158914924,-0.007689360063523054,-0.00029810843989253044,0.00982736237347126
0A01,P1,2025-07-09 15:47:32+02:00,0.0,0.0,10.59528468643342,0.0,0.0,0.0,0.0,2025-07-09 15:47:31.772000+02:00,79.0,0.14611522446868283,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.183606147766113,6.192246913909912,6.144545078277588,6.160073757171631,10.0,0.15363486111164093,0.02564740739762783,-0.0032299284357577562,0.5675548911094666,0.030044544488191605,0.0029932891484349966,0.15741446614265442,0.0,101.68827819824219,2.041803871518336e-05,847.1653597187571,9.581668773143273,-0.013566020727421219,0.00021719005599152297,0.00038687873166054487,0.001546233193948865,1.9388066530227661,0.001438626553863287,-0.01182620134204626,-0.013898168690502644,0.02732486091554165
0A01,P1,2025-07-09 15:47:33+02:00,0.0,0.0,11.595311556318594,0.0,0.0,0.0,0.0,2025-07-09 15:47:32.762000+02:00,79.0,0.21801605091496393,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.019588947296143,7.038049221038818,6.987568378448486,7.0187506675720215,10.0,-0.11203079670667648,-0.004735941532999277,-0.01950650103390217,0.45314323902130127,0.007390945218503475,-0.03898534178733826,0.1584368348121643,0.0,112.7654037475586,4.580792028026493e-05,848.2606063910498,9.594214849116353,-0.013025309254461492,-0.00015523617912549525,0.00016864888311829418,0.0041909050196409225,2.203855276107788,0.005540395621210337,-0.013393007218837738,0.005068584810942411,0.07454413920640945
0A01,P1,2025-07-09 15:47:34+02:00,0.0,0.0,12.595338426203769,0.0,0.0,0.0,0.0,2025-07-09 15:47:33.752000+02:00,79.0,0.30410019330978594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.95948314666748,8.958990097045898,8.893758773803711,8.889688491821289,10.0,-0.00746920658275485,0.0009765906725078821,0.00034495448926463723,0.6608167886734009,0.008951874449849129,0.011815148405730724,0.18738365173339844,0.0,143.71395874023438,2.7026929709493384e-05,850.8941385491938,9.63099313030219,-0.013613841305025493,6.0729831602657214e-05,-0.001182498992420733,-9.968822996597737e-05,2.804274797439575,9.369258623337373e-05,-0.018000902608036995,-0.0061160363256931305,0.000958767079282552
