Trial,Phase,TargetQuadrant,ClickedQuadrant,Correct,ResponseTime_ms,ResponseTime_s,Timeout,TrialStart_UTC_ms,ResponseTimestamp_UTC_ms,subject_id,canonical_subject_id,session_number,session_id,condition,route,order_subgroup,source_file,TrialStart_dt,Response_dt,offline_activation_anchor_dt,offline_activation_annotation_type,offline_activation_reference_label,offline_activation_roll_window_seconds,baseline_first_session_lqm,hr_burden_above_baseline_plus_3bpm_session,hr_burden_above_baseline_plus_3bpm_session_100,hr_burden_above_baseline_plus_3bpm_roll20,hr_burden_above_baseline_plus_3bpm_roll20_100,hr_roll20_valid_sample_count,hr_roll20_coverage_ratio,drive_post10_center_line_crossing_sum,drive_post10_collision_sum,drive_post10_panic_braking_sum
5,1,1,1.0,True,2014.0,2.01,False,1752069776606,1752069778620.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:02:56.606000+02:00,2025-07-09 16:02:58.620000+02:00,2025-07-09 16:02:56.606000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.0,0.0,21.0,1.0,0.0,0.0,0.0
5,2,2,,False,,,True,1752069778622,,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:02:58.622000+02:00,,2025-07-09 16:02:58.622000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.0,0.0,21.0,1.0,0.0,0.0,0.0
6,1,4,4.0,True,1402.0,1.4,False,1752069786625,1752069788027.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:03:06.625000+02:00,2025-07-09 16:03:08.027000+02:00,2025-07-09 16:03:06.625000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.23809523809523808,23.809523809523807,21.0,1.0,0.0,0.0,0.0
6,2,4,4.0,True,758.0,0.76,False,1752069788032,1752069788790.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:03:08.032000+02:00,2025-07-09 16:03:08.790000+02:00,2025-07-09 16:03:08.032000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.3333333333333333,33.33333333333333,21.0,1.0,0.0,0.0,0.0
7,1,3,3.0,True,1212.0,1.21,False,1752069796637,1752069797849.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:03:16.637000+02:00,2025-07-09 16:03:17.849000+02:00,2025-07-09 16:03:16.637000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.7142857142857143,71.42857142857143,21.0,1.0,1.06,0.0,0.0
7,2,1,1.0,True,764.0,0.76,False,1752069797849,1752069798613.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:03:17.849000+02:00,2025-07-09 16:03:18.613000+02:00,2025-07-09 16:03:17.849000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.7142857142857143,71.42857142857143,21.0,1.0,1.06,0.0,0.0
8,1,3,3.0,True,1541.0,1.54,False,1752069806647,1752069808188.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:03:26.647000+02:00,2025-07-09 16:03:28.188000+02:00,2025-07-09 16:03:26.647000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.5238095238095238,52.38095238095239,21.0,1.0,6.1000000000000005,0.0,0.0
8,2,1,1.0,True,718.0,0.72,False,1752069808193,1752069808911.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:03:28.193000+02:00,2025-07-09 16:03:28.911000+02:00,2025-07-09 16:03:28.193000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.42857142857142855,42.857142857142854,21.0,1.0,6.97,0.0,0.0
9,1,2,,False,,,True,1752069816649,,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:03:36.649000+02:00,,2025-07-09 16:03:36.649000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.047619047619047616,4.761904761904762,21.0,1.0,4.75,0.0,0.0
10,1,3,3.0,True,1282.0,1.28,False,1752069826653,1752069827935.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:03:46.653000+02:00,2025-07-09 16:03:47.935000+02:00,2025-07-09 16:03:46.653000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.047619047619047616,4.761904761904762,21.0,1.0,0.9099999999999999,0.0,0.0
