id,clean_observation_s_delta,future_event_clean_delta,future_risk_score_clean_delta,future_event_fixed_5_15_delta,future_risk_score_fixed_5_15_delta,hr_pre10_delta,hr_post5_delta,hr_delta_post5_pre10_delta,hr_slope_pre10_delta,hr_slope_post5_delta,hr_slope_change_delta,hr_burden_plus3_post5_delta,hr_coverage_post5_delta,n_pairs
0A01,0.0,-0.0625,-0.1875,-0.0625,-0.40625,-0.49166666666666625,-0.28125,0.21041666666666625,0.00022997835497851407,-0.06874999999999966,-0.06897997835497818,0.21875,0.0,32
0A02,0.0,0.0,0.0,-0.06060606060606061,-0.24242424242424243,-2.836363636363636,-3.23030303030303,-0.3939393939393939,0.015059687786960915,0.027272727272727594,0.012213039485766675,-0.09090909090909091,0.0,33
0A03,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,-7.683333333333334,-8.033333333333333,-0.35,0.023636363636363383,0.49333333333333373,0.4696969696969704,0.39333333333333337,0.0,30
0A04,0.0,0.0,0.0,0.0,0.0,-2.0487179487179485,-1.784615384615384,0.2641025641025644,0.04055944055944076,0.00512820512820594,-0.03543123543123483,-0.21025641025641023,0.0,39
0A05,0.0,0.05555555555555555,0.3333333333333333,0.0,-0.05555555555555555,-1.5777777777777766,-1.8666666666666647,-0.28888888888888825,0.07744107744107676,-0.5444444444444432,-0.6218855218855199,0.23333333333333334,0.0,18
0A06,0.0,0.0,0.0,-0.09523809523809523,-0.47619047619047616,2.3761904761904766,2.6476190476190467,0.2714285714285702,-0.0014430014430030595,-0.009523809523809384,-0.008080808080806346,0.42857142857142855,0.0,21
0A08,0.0,0.0,0.0,0.023255813953488372,0.06976744186046512,4.237209302325582,3.911627906976744,-0.3255813953488385,0.03946441155743474,0.1186046511627898,0.07914023960535504,-0.009302325581395349,0.0,43
0A10,0.0,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.07894736842105263,-0.9325292397660832,-0.3947368421052626,0.5377923976608205,-0.017236272499430393,0.05263157894736938,0.06986785144679977,0.19473684210526318,0.0,38
0A11,0.0,0.0,0.0,0.0,0.0,-2.58095238095238,-3.165714285714285,-0.5847619047619048,0.20056895485466827,-0.23142857142857223,-0.43199752628324045,0.13142857142857145,0.0,35
0B02,0.0,0.0,0.12121212121212122,-0.030303030303030304,-0.06060606060606061,1.7272727272727277,1.703030303030304,-0.024242424242423725,-0.039669421487603995,0.10606060606060462,0.1457300275482086,0.04242424242424242,0.0,33
0B04,0.0,0.0,0.0,-0.037037037037037035,-0.1111111111111111,1.1716049382716056,0.8962962962962964,-0.2753086419753093,0.02991021324354717,-0.037037037037036834,-0.06694725028058399,-0.1111111111111111,0.0,27
0B05,0.0,0.21428571428571427,0.9285714285714286,0.21428571428571427,0.9285714285714286,1.278571428571428,-0.2571428571428588,-1.5357142857142867,-0.09567099567099564,-0.321428571428569,-0.22575757575757338,0.1,0.0,14
0B06,0.0,-0.12,-0.6,-0.28,-1.44,-0.30800000000000066,-0.4959999999999985,-0.18799999999999784,-0.025454545454546507,-0.03599999999999889,-0.010545454545452398,-0.544,0.0,25
0B07,0.0,0.0,-0.08695652173913043,-0.13043478260869565,-0.6521739130434783,4.124223602484471,3.28695652173913,-0.8372670807453408,0.22520233389798616,-0.09130434782608991,-0.3165066817240761,-0.0608695652173913,0.0,23
0B09,0.0,0.0,0.0,0.0,0.0,1.9343749999999995,2.1,0.16562500000000058,-0.04537337662337665,0.2156249999999994,0.260998376623376,0.10625,0.0,32
0B10,0.0,0.038461538461538464,0.19230769230769232,0.038461538461538464,0.19230769230769232,8.00769230769231,8.592307692307692,0.5846153846153831,-0.020046620046620174,-0.280769230769232,-0.2607226107226118,0.13846153846153847,0.0,26
0B11,0.0,0.05263157894736842,0.2631578947368421,-0.05263157894736842,-0.2631578947368421,1.5894736842105261,1.768421052631578,0.1789473684210518,-0.08803827751196196,-0.12105263157894773,-0.03301435406698582,-0.6947368421052631,0.0,19
0C01,0.0,0.0,0.0,0.0,0.0,-0.13181818181818208,0.8000000000000007,0.9318181818181828,-0.009090909090908967,0.09545454545454665,0.1045454545454556,0.0,0.0,22
0C02,0.0,0.0,0.0,0.0,0.0,-3.6647058823529393,-4.058823529411766,-0.394117647058827,-0.03743315508021333,0.500000000000001,0.5374331550802144,-0.31764705882352945,0.0,17
