id,distracted_route,trial,response_time,clean_recovery_s,matched_progress,order_subgroup,clean_observation_s_recovery,clean_observation_s_control,clean_observation_s_delta,future_event_clean_recovery,future_event_clean_control,future_event_clean_delta,future_risk_score_clean_recovery,future_risk_score_clean_control,future_risk_score_clean_delta,future_event_fixed_5_15_recovery,future_event_fixed_5_15_control,future_event_fixed_5_15_delta,future_risk_score_fixed_5_15_recovery,future_risk_score_fixed_5_15_control,future_risk_score_fixed_5_15_delta,hr_pre10_recovery,hr_pre10_control,hr_pre10_delta,hr_post5_recovery,hr_post5_control,hr_post5_delta,hr_delta_post5_pre10_recovery,hr_delta_post5_pre10_control,hr_delta_post5_pre10_delta,hr_slope_pre10_recovery,hr_slope_pre10_control,hr_slope_pre10_delta,hr_slope_post5_recovery,hr_slope_post5_control,hr_slope_post5_delta,hr_slope_change_recovery,hr_slope_change_control,hr_slope_change_delta,hr_burden_plus3_post5_recovery,hr_burden_plus3_post5_control,hr_burden_plus3_post5_delta,hr_coverage_post5_recovery,hr_coverage_post5_control,hr_coverage_post5_delta
0A01,P2,0,2025-07-09 14:02:09.235000+00:00,8.996,0.015957446808510637,D second,3,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,76.16666666666667,78.6,-2.433333333333323,75.2,76.6,-1.3999999999999915,-0.9666666666666686,-2.0,1.0333333333333314,-0.771428571428574,-0.300000000000006,-0.47142857142856803,0.19999999999998483,0.19999999999998264,2.192690473634684e-15,0.9714285714285589,0.4999999999999886,0.47142857142857025,0.0,0.0,0.0,1.0,1.0,0.0
0A01,P2,1,2025-07-09 14:02:19.058000+00:00,10.369,0.0425531914893617,D second,5,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,75.5,77.6,-2.0999999999999943,73.4,78.0,-4.599999999999994,-2.0999999999999943,0.4000000000000057,-2.5,0.09090909090909363,0.1939393939393941,-0.10303030303030047,-0.4000000000000139,-0.4000000000000133,-6.106226635438361e-16,-0.4909090909091075,-0.5939393939394074,0.10303030303029992,0.0,0.0,0.0,1.0,1.0,0.0
0A01,P2,2,2025-07-09 14:02:30.129000+00:00,8.396,0.07180851063829788,D second,3,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,73.3,77.4,-4.1000000000000085,73.0,76.6,-3.5999999999999943,-0.29999999999999716,-0.8000000000000114,0.5000000000000142,0.09090909090909015,-0.20606060606060683,0.296969696969697,-1.1640144055955422e-14,-0.3000000000000021,0.29999999999999044,-0.09090909090910179,-0.09393939393939527,0.003030303030293474,0.0,0.0,0.0,1.0,1.0,0.0
0A01,P2,3,2025-07-09 14:02:39.732000+00:00,8.773,0.09840425531914894,D second,3,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,73.1,76.8,-3.700000000000003,74.0,76.8,-2.799999999999997,0.9000000000000057,0.0,0.9000000000000057,0.06666666666666712,-0.024242424242416523,0.09090909090908364,0.3999999999999977,0.09999999999999144,0.30000000000000626,0.3333333333333306,0.12424242424240797,0.20909090909092262,0.0,0.0,0.0,1.0,1.0,0.0
0A01,P2,5,2025-07-09 14:02:58.620000+00:00,9.412,0.14893617021276595,D second,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,74.0,78.8,-4.799999999999997,75.6,74.0,1.5999999999999943,1.5999999999999943,-4.799999999999997,6.3999999999999915,-0.09696969696969615,-0.060606060606056576,-0.036363636363639575,0.4999999999999957,-6.496579164659306e-15,0.5000000000000022,0.5969696969696918,0.06060606060605008,0.5363636363636417,0.0,0.0,0.0,1.0,1.0,0.0
0A01,P2,6,2025-07-09 14:03:08.790000+00:00,9.059,0.17553191489361702,D second,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,77.3,74.3,3.0,78.4,69.2,9.200000000000003,1.1000000000000085,-5.099999999999994,6.200000000000003,0.5757575757575792,-0.2606060606060607,0.83636363636364,-1.2309423601367922e-14,-1.0000000000000027,0.9999999999999903,-0.5757575757575916,-0.7393939393939419,0.16363636363635037,1.0,0.0,1.0,1.0,1.0,0.0
0A01,P2,7,2025-07-09 14:03:18.613000+00:00,9.58,0.20212765957446807,D second,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,78.6,68.4,10.199999999999989,71.6,72.4,-0.8000000000000114,-7.0,4.0,-11.0,-0.0727272727272672,-0.7757575757575753,0.7030303030303081,-0.5000000000000108,2.499999999999997,-3.0000000000000075,-0.42727272727274357,3.2757575757575723,-3.703030303030316,0.0,0.0,0.0,1.0,1.0,0.0
0A01,P2,8,2025-07-09 14:03:28.911000+00:00,19.027,0.22872340425531915,D second,10,10,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,71.1,73.2,-2.1000000000000085,71.2,82.8,-11.599999999999994,0.10000000000000853,9.599999999999994,-9.499999999999986,-0.19999999999999934,1.8424242424242436,-2.042424242424243,0.19999999999999182,-8.818818799658584e-15,0.20000000000000065,0.39999999999999114,-1.8424242424242525,2.2424242424242435,0.0,1.0,-1.0,1.0,1.0,0.0
0A01,P2,10,2025-07-09 14:03:48.656000+00:00,9.145,0.28191489361702127,D second,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,75.7,76.7,-1.0,78.0,72.4,5.599999999999994,2.299999999999997,-4.299999999999997,6.599999999999994,0.1515151515151524,-0.7333333333333338,0.8848484848484862,-0.3000000000000095,0.6999999999999857,-0.9999999999999952,-0.45151515151516186,1.4333333333333196,-1.8848484848484814,0.8,0.0,0.8,1.0,1.0,0.0
0A01,P2,11,2025-07-09 14:03:58.861000+00:00,9.032,0.30851063829787234,D second,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,77.4,73.0,4.400000000000006,72.6,73.6,-1.0,-4.800000000000011,0.5999999999999943,-5.400000000000006,-0.27878787878787953,0.12121212121212223,-0.40000000000000174,-0.5000000000000027,-0.3000000000000078,-0.19999999999999485,-0.22121212121212314,-0.42121212121213003,0.2000000000000069,0.0,0.0,0.0,1.0,1.0,0.0
