test_user,n_test,pos_rate_test,best_model,best_calibration,threshold,fold_seconds,blend_weights,AUC-PR,AUC-ROC,Brier,LogLoss,F1,Precision,Recall,MCC,Kappa,Precision@Recall>=0.80,Precision@Recall>=0.85,Precision@Recall>=0.90,Precision@Recall>=0.95
participant_01,979,0.11440245148110317,blend_calibrated,weighted_average,0.25240457447174103,10.333466053009033,"{""hgb_fixed"": 0.1, ""logreg_fixed"": 0.65, ""xgb_fixed"": 0.25}",0.15647138429579488,0.5700795023891909,0.14282335827371226,0.45017689753714624,0.1908548707753479,0.12276214833759591,0.42857142857142855,0.021416789913147178,0.015808206929428748,0.13893129770992366,0.12777053455019557,0.12515337423312883,0.12272727272727273
participant_02,506,0.23517786561264822,blend_calibrated,weighted_average,0.24664989778959592,10.093715906143188,"{""hgb_fixed"": 0.55, ""logreg_fixed"": 0.44999999999999996, ""xgb_fixed"": 0.0}",0.24229866341180678,0.47927388009467353,0.18978602548630594,0.5755621167352845,0.3216374269005848,0.24663677130044842,0.46218487394957986,0.02398412684622914,0.0215539515577855,0.23517786561264822,0.23517786561264822,0.23517786561264822,0.23517786561264822
participant_03,1569,0.207138304652645,blend_calibrated,weighted_average,0.23414073289856002,10.454193115234375,"{""hgb_fixed"": 0.2, ""logreg_fixed"": 0.7, ""xgb_fixed"": 0.1}",0.2581372526841693,0.6173237694781103,0.16287574138473526,0.500479148692526,0.3734115347018573,0.27363896848137537,0.5876923076923077,0.1468979338208755,0.12650655253185927,0.27742616033755274,0.2678916827852998,0.2368633791430881,0.221505376344086
participant_04,539,0.3302411873840445,blend_calibrated,weighted_average,0.24004707474576775,11.362243890762329,"{""hgb_fixed"": 0.05, ""logreg_fixed"": 0.6499999999999999, ""xgb_fixed"": 0.30000000000000004}",0.3923526234681601,0.5988048180771266,0.22629798225913383,0.654385823284659,0.4696969696969697,0.42660550458715596,0.5224719101123596,0.16885625080636368,0.1667157454577579,0.3592233009708738,0.3584474885844749,0.35714285714285715,0.35714285714285715
participant_05,511,0.136986301369863,blend_calibrated,weighted_average,0.27587543573695633,10.13362455368042,"{""hgb_fixed"": 0.5, ""logreg_fixed"": 0.5, ""xgb_fixed"": 0.0}",0.14873280493852387,0.5705539358600583,0.1487142284168463,0.467065605605672,0.2593856655290102,0.17040358744394618,0.5428571428571428,0.08552241371893944,0.064268415145608,0.1638888888888889,0.16377171215880892,0.16377171215880892,0.16183574879227053
participant_06,551,0.2177858439201452,blend_calibrated,weighted_average,0.2769684720390553,10.898955345153809,"{""hgb_fixed"": 0.1, ""logreg_fixed"": 0.4, ""xgb_fixed"": 0.5}",0.21621686495943745,0.5192575406032482,0.18641936054198047,0.5670303559201314,0.26537216828478966,0.21693121693121692,0.3416666666666667,-0.0014961514616242794,-0.001425151522429946,0.23542600896860988,0.23542600896860988,0.2297872340425532,0.22072936660268713
participant_07,587,0.30664395229982966,blend_calibrated,weighted_average,0.2988164841622807,10.207894802093506,"{""hgb_fixed"": 0.05, ""logreg_fixed"": 0.95, ""xgb_fixed"": 0.0}",0.3301849888803787,0.5490308490308491,0.23009136530326837,0.6721173461389572,0.4019607843137255,0.35964912280701755,0.45555555555555555,0.09161004135283886,0.0901306093408547,0.3252212389380531,0.32298136645962733,0.3179190751445087,0.3175182481751825
participant_08,545,0.1669724770642202,blend_calibrated,weighted_average,0.3136384920444896,10.40154767036438,"{""hgb_fixed"": 0.05, ""logreg_fixed"": 0.7999999999999999, ""xgb_fixed"": 0.15000000000000002}",0.19885992003524394,0.5950646270029529,0.16929113403238524,0.5091012007479072,0.30718954248366015,0.2186046511627907,0.5164835164835165,0.11174563098897036,0.09479786900658105,0.20728291316526612,0.19331742243436753,0.19158878504672897,0.17791411042944785
participant_09,1025,0.27121951219512197,blend_calibrated,weighted_average,0.2538721794597545,9.896761655807495,"{""hgb_fixed"": 0.25, ""logreg_fixed"": 0.65, ""xgb_fixed"": 0.1}",0.49512669976971085,0.7681035894176225,0.16528574087369935,0.501124035730187,0.5843293492695883,0.4631578947368421,0.7913669064748201,0.401206958968939,0.3681126594120834,0.4618556701030928,0.37658227848101267,0.3540197461212976,0.2932745314222712
participant_10,826,0.3196125907990315,blend_calibrated,weighted_average,0.26058387029627983,10.053065538406372,"{""hgb_fixed"": 0.0, ""logreg_fixed"": 0.09999999999999998, ""xgb_fixed"": 0.9}",0.6482926131709197,0.7977124447320175,0.17096082882759128,0.5176334555719124,0.6510903426791277,0.5529100529100529,0.7916666666666666,0.45954371778593833,0.44052154770976215,0.5520833333333334,0.4787234042553192,0.38387096774193546,0.35352112676056335
